url,score,lcp,tti,speedIndex,minimizeMainThreadWork,eliminateRenderBlockingResources,minimizeThirdPartyResourcesMs,minimizeThirdPartyResourcesBytes,efficientlyEncodeImages,serveNextGenImages,properlySizeImages,reduceUnusedCSS,minifyCSS,reduceUnusedJS,minifyJavaScript,enormousNetworkPayloads,greenHosting,CO2WithGreenHosting,CO2WithoutGreenHosting,server,frameworks,libraries,externalServices,cachingTechnologies,securityPractices,performanceOptimizations,backendTechnology
http://www.sa-i.at,45,10352,16751,14998,2918,6203,18,148202,0,3000,1025,5530,400,1890,75,3945602,1,1354,1569,Apache,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/kaprun-oberstufe-limberg-3,45,10924,11238,5828,3412,715,-1,-1,0,0,6015,600,0,2405,0,3885979,0,1542,1542,-,-,-,-,-,"strict-transport-security, x-frame-options, x-xss-protection, content-security-policy",-,-
http://www.maison-elisa.at,45,16129,15631,9336,3428,6985,599,3447617,695,4125,2250,535,0,6520,0,3492550,0,1386,1386,Squarespace,-,jQuery,-,-,"strict-transport-security, x-content-type-options",-,-
http://www.tingo.com,45,18379,16529,5118,5598,0,34,100959,0,450,300,300,0,2330,0,3237880,1,1112,1285,cloudflare,-,-,Cloudflare,,x-frame-options,-,Django
http://www.neooptik1180.at,45,8651,5803,6643,1070,4725,0,116260,8240,9995,11755,160,0,0,0,3151560,1,1082,1251,Apache,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.shilat-dental.com,45,11187,12744,6774,3591,906,175,652904,170,6755,2570,340,0,1345,85,2934165,1,1007,1164,Apache,WordPress,jQuery,Google Analytics,,-,-,WordPress
http://www.wienerdirndl.at,45,11734,12178,7175,3080,1886,115,545006,0,4200,1050,825,0,1385,0,2892362,1,993,1148,cloudflare,WordPress,jQuery,Cloudflare,,"strict-transport-security, x-content-type-options, x-frame-options, x-xss-protection",-,WordPress
http://www.co-cosmetic.at,45,17662,17980,14686,6707,4539,523,239930,320,320,0,3775,165,2010,0,2776203,1,953,1102,Apache,AIOSEO,jQuery,-,-,-,-,WordPress
http://www.garten-der-schoenheit.at,45,3997,11573,5401,3212,412,884,2060077,0,1135,165,325,0,540,0,2537637,0,1007,1026,-,-,-,Generic API Endpoint,,-,-,-
https://koese-badkultur.at/,45,10605,4944,5171,2415,1025,48,372335,1205,4862,0,863,0,1033,0,2525257,0,1002,1002,"nginx, PleskLin",Helix Ultimate,"Bootstrap, jQuery",-,-,x-content-type-options,-,Joomla
http://www.fick-dich.at,45,10911,10100,8584,1440,5851,0,119123,2575,3185,225,5000,530,835,75,2521972,1,866,1001,"nginx, PleskLin",WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://reisemed.at,45,9291,11248,7255,2743,2223,80,629777,0,910,150,1815,0,1965,0,2483966,1,853,986,Apache,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.leopoldauerhof.co.at,45,12545,5292,4098,784,3010,0,222817,135,3940,2870,865,160,2130,95,2208028,1,758,876,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.vorstadtwirt.at,45,6350,7539,6890,1410,86,40,39497,85,2185,0,170,0,85,0,2133728,1,732,847,Apache,-,jQuery,-,-,-,-,-
http://www.mfbernstein.at,45,7207,9786,5379,1128,1284,107,230696,2255,5780,1050,450,75,310,0,2076513,0,824,824,Apache,WordPress,jQuery,Generic API Endpoint,,-,-,WordPress
http://www.atmedia.at,45,5180,16976,8210,7417,252,1214,1641872,0,150,0,1365,0,3270,0,2066309,1,709,817,cloudflare,-,-,Cloudflare,Unknown via header configuration,"strict-transport-security, x-content-type-options, content-security-policy",-,-
http://www.shmp.at/,45,8372,9564,5549,2312,2496,216,499233,0,1854,170,2165,1824,1737,175,1946014,0,772,772,nginx,WPML,"Bootstrap, jQuery",Generic API Endpoint,,-,-,WordPress
http://www.kunstfehler.at/,45,11617,8261,6570,1117,4939,0,233690,0,1760,160,1117,115,1760,0,1891256,1,649,750,Apache,Joomla!,"Bootstrap, jQuery",-,-,-,-,Joomla
http://www.businesscenter.at,45,8759,11926,8553,3548,1696,146,520596,0,0,0,500,0,1775,0,1432945,1,492,568,Apache,WordPress,"Bootstrap, jQuery",-,-,-,-,WordPress
http://www.e-n-c.at/,45,8014,4473,5099,462,2383,-1,-1,131,883,508,771,18,471,565,1354588,1,464,538,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.tower-ilic-bau.at,45,9050,8758,6057,888,766,-1,-1,0,750,0,150,0,1050,0,1226586,0,486,486,Apache,-,-,-,-,-,-,-
http://www.reifen-schlick.com,45,6759,5083,5218,1828,3770,25,79192,0,670,500,585,170,250,85,1100595,0,436,436,Apache,Joomla!,"Bootstrap, jQuery",-,-,"strict-transport-security, x-content-type-options",-,Joomla
http://www.if-ne.com,45,10376,5523,6500,1308,2919,11,294691,0,1580,755,450,0,790,0,1081521,0,429,429,"Apache, PleskLin",WordPress,jQuery,-,-,-,-,WordPress
http://www.mm-consulting.at,45,5756,3591,6183,865,2491,-1,-1,0,1650,0,0,0,0,0,980769,0,389,389,Apache,WordPress,jQuery,-,-,-,-,WordPress
http://www.mgmediengruppe.com,44,13562,49089,23634,5347,953,35,13347127,33900,53250,71185,1500,150,900,1500,16370083,1,5623,6601,Apache,WordPress,"Vue.js, jQuery",-,-,-,-,WordPress
http://www.wunschbaby.at,44,13835,7534,6566,5617,62,368,576394,4670,15970,9265,300,225,1865,70,16092267,0,6388,6493,Apache,-,jQuery,-,-,strict-transport-security,-,Joomla
http://www.dm-consulting.at,44,14996,21367,16291,1749,612,0,387482,36300,50175,600,150,0,375,75,12594760,0,4999,4999,Apache,-,"Bootstrap, jQuery",-,-,strict-transport-security,-,-
http://www.maler-patlak.at,44,6185,12140,7206,6401,472,710,1570514,4975,15310,16890,1855,0,1475,0,7933905,0,3149,3137,-,-,-,Generic API Endpoint,,-,-,-
https://arbeiterkammer.at,44,27109,18348,8435,2757,5736,46,185659,990,15945,5170,3120,0,10100,0,5806773,1,1994,2305,nginx,-,jQuery,-,-,"strict-transport-security, x-content-type-options, x-xss-protection, content-security-policy",-,Joomla
http://www.automatendreherei.at,44,17684,18536,9080,3402,432,785,2573546,0,3750,7815,490,0,1550,0,4698707,0,1864,1838,-,-,-,Generic API Endpoint,,-,-,-
http://www.tonerexpert.at,44,6933,9711,5910,2802,2937,380,651388,0,0,9450,525,0,2130,0,3865914,1,1327,1534,cloudflare,-,-,"Cloudflare, Generic API Endpoint",,-,-,-
https://kurier.at/,44,4735,21642,10040,12340,0,2436,2975104,0,1790,795,1060,0,7690,0,3465540,1,1190,1736,cloudflare,-,-,Cloudflare,Unknown via header configuration,"strict-transport-security, x-content-type-options, content-security-policy",-,-
http://www.ep-finanz.at,44,9463,18826,11156,3896,7065,779,3313840,0,595,685,1285,0,7545,0,3358082,1,1153,1333,GCMS,-,"Bootstrap, Vue.js, jQuery",Generic API Endpoint,,-,-,-
http://www.hoteldata.at,44,14669,11482,10215,1708,8016,21,172849,320,4615,1590,2545,480,2865,480,3228960,1,1109,1281,"Microsoft-IIS, ASP.NET",-,"Bootstrap, jQuery",-,-,-,-,-
http://www.ibi.at,44,9460,6858,6377,1845,197,1,2220127,3560,7640,3740,330,0,650,0,3112526,1,1069,1235,"nginx, PleskLin",-,-,-,-,-,-,-
